server_name,random_intercept,group,model,label
Alexander Shevchenko,0.0469832979126302,m_second,speed_ratio_z,Average
Alexander Zverev,0.0393094973220805,m_second,speed_ratio_z,Average
Alexandre Muller,-0.055346310122545,m_second,speed_ratio_z,Average
Alexei Popyrin,-0.029624398347125,m_second,speed_ratio_z,Average
Andrey Rublev,-0.00407272260453876,m_second,speed_ratio_z,Average
Arthur Cazaux,-0.0249077627246017,m_second,speed_ratio_z,Average
Arthur Fils,-0.0347616781475131,m_second,speed_ratio_z,Average
Arthur Rinderknech,-0.0720093359636545,m_second,speed_ratio_z,Average
Ben Shelton,0.0249701986240278,m_second,speed_ratio_z,Average
Borna Coric,-0.0064241108479319,m_second,speed_ratio_z,Average
Botic van De Zandschulp,-0.0286880334168096,m_second,speed_ratio_z,Average
Botic Van De Zandschulp,0.0523985861835072,m_second,speed_ratio_z,Average
Brandon Nakashima,-0.0223153565387324,m_second,speed_ratio_z,Average
Carlos Alcaraz,0.219917105215635,m_second,speed_ratio_z,Over-performer
Casper Ruud,0.0482542413247409,m_second,speed_ratio_z,Average
Christopher Eubanks,-0.0176853207475883,m_second,speed_ratio_z,Average
Constant Lestienne,-0.0830409806527332,m_second,speed_ratio_z,Average
Corentin Moutet,0.0755776706228327,m_second,speed_ratio_z,Average
Daniel Altmaier,-0.041986967250762,m_second,speed_ratio_z,Average
Daniel Evans,-0.0409679355305989,m_second,speed_ratio_z,Average
Daniil Medvedev,-0.0771140996057307,m_second,speed_ratio_z,Average
David Goffin,-0.0716831197476366,m_second,speed_ratio_z,Average
Denis Shapovalov,0.0348371128789782,m_second,speed_ratio_z,Average
Dominik Koepfer,-0.0603709444194553,m_second,speed_ratio_z,Average
Dusan Lajovic,0.00698312235122701,m_second,speed_ratio_z,Average
Fabian Marozsan,-0.0672612321175809,m_second,speed_ratio_z,Average
Fabio Fognini,-0.005236450347726,m_second,speed_ratio_z,Average
Facundo Diaz Acosta,0.0284158188929761,m_second,speed_ratio_z,Average
Federico Coria,-0.051011961517523,m_second,speed_ratio_z,Average
Flavio Cobolli,0.00776552930098498,m_second,speed_ratio_z,Average
Frances Tiafoe,0.0547461631740886,m_second,speed_ratio_z,Average
Francisco Cerundolo,0.0409305875969414,m_second,speed_ratio_z,Average
Gabriel Diallo,-0.0101385583451906,m_second,speed_ratio_z,Average
Gael Monfils,-0.00614131859698745,m_second,speed_ratio_z,Average
Grigor Dimitrov,0.0307173008369642,m_second,speed_ratio_z,Average
Hamad Medjedovic,-0.0161742096835524,m_second,speed_ratio_z,Average
Holger Rune,-0.0351107755634524,m_second,speed_ratio_z,Average
Hubert Hurkacz,0.00193865186970736,m_second,speed_ratio_z,Average
Hugo Gaston,-0.0424372565523679,m_second,speed_ratio_z,Average
Jack Draper,-0.0265001278720304,m_second,speed_ratio_z,Average
Jakub Mensik,-0.0565889648890581,m_second,speed_ratio_z,Average
James Duckworth,-0.0121875256011728,m_second,speed_ratio_z,Average
Jannik Sinner,-0.0203336387408125,m_second,speed_ratio_z,Average
Jiri Lehecka,0.0127602749001331,m_second,speed_ratio_z,Average
Jordan Thompson,-0.0364602373827887,m_second,speed_ratio_z,Average
Juncheng Shang,-0.0475288049095009,m_second,speed_ratio_z,Average
Karen Khachanov,0.040545739216023,m_second,speed_ratio_z,Average
Laslo Djere,-0.0179584109493573,m_second,speed_ratio_z,Average
Lorenzo Musetti,0.0433734923628918,m_second,speed_ratio_z,Average
Lorenzo Sonego,0.0378054589753536,m_second,speed_ratio_z,Average
Luca Nardi,0.00987308649642134,m_second,speed_ratio_z,Average
Luciano Darderi,0.0326911015862778,m_second,speed_ratio_z,Average
Mackenzie McDonald,0.0191923717154049,m_second,speed_ratio_z,Average
Marcos Giron,0.0521777162308731,m_second,speed_ratio_z,Average
