server_name,random_intercept,group,model,rank,label
Rafael Nadal,0.001109359,m_second,Speed_MPH_z,53,Average
Ricardas Berankis,-0.001010859,m_second,Speed_MPH_z,69,Average
Richard Gasquet,0.001613722,m_second,Speed_MPH_z,50,Average
Roberto Bautista Agut,-0.008585166,m_second,Speed_MPH_z,110,Average
Roberto Carballes Baena,0.006030908,m_second,Speed_MPH_z,26,Average
Roger Federer,-0.007239939,m_second,Speed_MPH_z,106,Average
Roman Safiullin,0.012423155,m_second,Speed_MPH_z,8,Over-performer
Salvatore Caruso,0.001278937,m_second,Speed_MPH_z,52,Average
Sam Querrey,-0.001800242,m_second,Speed_MPH_z,76,Average
Sebastian Korda,0.001057575,m_second,Speed_MPH_z,54,Average
Stan Wawrinka,0.00436763,m_second,Speed_MPH_z,32,Average
Stefan Kozlov,-0.006447111,m_second,Speed_MPH_z,101,Average
Stefanos Tsitsipas,0.008707227,m_second,Speed_MPH_z,19,Average
Steve Johnson,-0.010791275,m_second,Speed_MPH_z,117,Average
Tallon Griekspoor,0.00050841,m_second,Speed_MPH_z,60,Average
Taro Daniel,0.004884335,m_second,Speed_MPH_z,30,Average
Taylor Fritz,0.01227874,m_second,Speed_MPH_z,9,Over-performer
Tennys Sandgren,-0.004333046,m_second,Speed_MPH_z,94,Average
Thanasi Kokkinakis,-0.004009767,m_second,Speed_MPH_z,91,Average
Thiago Seyboth Wild,0.003869383,m_second,Speed_MPH_z,35,Average
Tim Van Rijthoven,-0.009482405,m_second,Speed_MPH_z,113,Average
Tommy Paul,0.015681103,m_second,Speed_MPH_z,6,Over-performer
Ugo Humbert,0.011706557,m_second,Speed_MPH_z,10,Over-performer
Yannick Hanfmann,0.008761209,m_second,Speed_MPH_z,18,Average
Yibing Wu,-0.009763438,m_second,Speed_MPH_z,115,Average
Yoshihito Nishioka,0.011255094,m_second,Speed_MPH_z,11,Average
Yosuke Watanuki,0.000955699,m_second,Speed_MPH_z,56,Average
Adrian Mannarino,0.01263883,m_second,speed_ratio_z,6,Over-performer
Alejandro Davidovich Fokina,0.007439233,m_second,speed_ratio_z,19,Average
Alejandro Tabilo,0.00062846,m_second,speed_ratio_z,57,Average
Aleksandar Kovacevic,-0.003655646,m_second,speed_ratio_z,90,Average
Aleksandar Vukic,-0.001269633,m_second,speed_ratio_z,70,Average
Alex de Minaur,-0.006772949,m_second,speed_ratio_z,105,Average
Alex De Minaur,0.008250823,m_second,speed_ratio_z,17,Average
Alex Molcan,-0.003771075,m_second,speed_ratio_z,92,Average
Alexander Bublik,0.002799698,m_second,speed_ratio_z,39,Average
Alexander Zverev,0.022530284,m_second,speed_ratio_z,1,Over-performer
Alexandre Muller,0.012556975,m_second,speed_ratio_z,7,Over-performer
Alexei Popyrin,-0.003690431,m_second,speed_ratio_z,91,Average
Aljaz Bedene,0.006640471,m_second,speed_ratio_z,21,Average
Andrey Rublev,-0.009628038,m_second,speed_ratio_z,112,Average
